"10,000,000 Volt Thunderbolt",ELECTRICO,Special,195,?,1,,Pikachu-exclusive Z-Move. High critical hit ratio.,?
Absorb,PLANTA,Special,20,100,25,,User recovers half the HP inflicted on opponent.,?
Accelerock,ROCA,Physical,40,100,20,,User attacks first.,?
Acid,VENENO,Special,40,100,30,,May lower opponent's Special Defense. Hits all opposing Pokemon.,10
Acid Armor,VENENO,Status,?,?,20,,Sharply raises user's Defense.,?
Acid Downpour,VENENO,?,?,?,1,,Poison type Z-Move.,?
Acid Spray,VENENO,Special,40,100,20,,Sharply lowers opponent's Special Defense.,100
Acrobatics,VOLADOR,Physical,55,100,15,TM78,Stronger when the user does not have a held item.,?
Acupressure,NORMAL,Status,?,?,30,,Sharply raises a random stat.,?
Aerial Ace,VOLADOR,Physical,60,100,20,,Ignores Accuracy and Evasiveness.,?
Aeroblast,VOLADOR,Special,100,95,5,,High critical hit ratio.,?
After You,NORMAL,Status,?,?,15,,Gives target priority in the next turn.,?
Agility,PSIQUICO,Status,?,?,30,,Sharply raises user's Speed.,?
Air Cutter,VOLADOR,Special,60,95,25,,High critical hit ratio. Hits all opposing Pokemon.,?
Air Slash,VOLADOR,Special,75,95,15,TM95,May cause flinching.,30
All-Out Pummeling,LUCHA,?,?,?,1,,Fighting type Z-Move.,?
Ally Switch,PSIQUICO,Status,?,?,15,,User switches with opposite teammate.,?
Amnesia,PSIQUICO,Status,?,?,20,,Sharply raises user's Special Defense.,?
Anchor Shot,ACERO,Physical,80,100,20,,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,?
Ancient Power,ROCA,Special,60,100,5,,May raise all user's stats at once.,10
Apple Acid,PLANTA,Special,80,100,10,,Lowers target's Special Defense.,100
Aqua Jet,AGUA,Physical,40,100,20,,User attacks first.,?
Aqua Ring,AGUA,Status,?,?,20,,Restores a little HP each turn.,?
Aqua Tail,AGUA,Physical,90,90,10,,,?
Arm Thrust,LUCHA,Physical,15,100,20,,Hits 2-5 times in one turn.,?
Aromatherapy,PLANTA,Status,?,?,5,,Cures all status problems in your party.,?
Aromatic Mist,HADA,Status,?,?,20,,Raises Special Defense of an ally.,?
Assist,NORMAL,Status,?,?,20,,User performs a move known by its allies at random.,?
Assurance,SINIESTRO,Physical,60,100,10,TM58,Power doubles if opponent already took damage in the same turn.,?
Astonish,FANTASMA,Physical,30,100,15,,May cause flinching.,30
Astral Barrage,FANTASMA,Special,120,100,5,,The user attacks by sending a frightful amount of small ghosts at opposing Pok‚mon.,?
Attack Order,BICHO,Physical,90,100,15,,High critical hit ratio.,?
Attract,NORMAL,Status,?,100,15,TM31,"If opponent is the opposite gender, it's less likely to attack.",?
Aura Sphere,LUCHA,Special,80,100,20,,Ignores Accuracy and Evasiveness.,?
Aura Wheel,ELECTRICO,Physical,110,100,10,,Changes type based on Morpeko's Mode.,100
Aurora Beam,HIELO,Special,65,100,20,,May lower opponent's Attack.,10
Aurora Veil,HIELO,Status,?,?,20,,Halves damage from Physical and Special attacks for five turns.,?
Autotomize,ACERO,Status,?,?,15,,Reduces weight and sharply raises Speed.,?
Avalanche,HIELO,Physical,60,100,10,TM64,Power doubles if user took damage first.,?
Baby-Doll Eyes,HADA,Status,?,100,30,,Always goes first. Lowers the target's attack.,?
Baddy Bad,SINIESTRO,Special,90,100,15,,Reduces damage from Physical attacks.,?
Baneful Bunker,VENENO,Status,?,?,10,,Protects the user and poisons opponent on contact.,?
Barrage,NORMAL,Physical,15,85,20,,Hits 2-5 times in one turn.,?
